sample_id,dry_weight,dry_weight_lci,dry_weight_uci,table_key
25-230104,34532.928468148144,30378.754933333326,39049.78434,COV_S6353
25-230105,315870.2791926605,297137.15253822634,336964.0618470948,COV_S6354
25-230110,85659.89650852712,79221.65745116278,92098.8511751938,COV_S6355
25-230111,105471.94550724636,93132.88148405794,118040.46631884055,COV_S6356
25-230112,105660.9931082251,98724.45331024528,112598.41366810964,COV_S6357
25-230117,183790.84266666663,167997.7362580645,199752.0556272401,COV_S6358
25-230118,96510.47378129118,90119.32294071146,103008.24512252962,COV_S6359
25-230119,40591.06523483482,34525.83117837837,47328.56235435435,COV_S6360
25-230124,124010.6929292929,108910.38723232322,139080.59668686867,COV_S6361
25-230125,114014.60129585008,103076.25561445784,124927.68925301204,COV_S6362
25-230126,106531.86456410257,99036.77302564104,114027.87917948716,COV_S6363
25-230131,137374.22789835575,128633.99806278026,146115.82622421524,COV_S6364
25-230201,74041.64632380953,67107.34774857142,82306.21336380951,COV_S6365
25-230202,312253.1128177778,293317.97283555556,334871.41923555563,COV_S6366
OSP110920,11601.190587134502,8998.420038986354,14354.802479532162,COV_S6367
OSP201204,38237.51911366907,32872.835794724226,43325.63000479616,COV_S6368
OSP201207,21593.00717575758,15016.831440559445,28134.80394965036,COV_S6369
OSP201208,40935.31313972603,30226.250218569257,55725.50989,COV_S6370
OSP700053,76237.11149549551,67865.03662702702,84666.90508,COV_S6371
OSP700056,27006.526207166124,23135.764072095553,31739.67085863192,COV_S6372
OS700036,62794.58124017467,58415.42539737992,67969.43184861718,COV_S6373
OSP700063,54023.79795169082,50665.19476,57348.88345,COV_S6374
OSP700064,87008.92598463902,81326.99011,92218.24378494624,COV_S6375
OSP700051,15896.442087943264,12971.613140425534,20326.77896170213,COV_S6376
OSP700066,35187.006309354416,32284.91379604743,38089.26467878789,COV_S6377
OSP700079,39686.90063190662,36093.28016,43001.96901686122,COV_S6378
OSP700078,23661.246169369373,17477.618681081083,31311.874990990997,COV_S6379
OSP700072,23246.298166436784,20449.24155218391,26229.79482114943,COV_S6380
OSP700070,12809.819306666668,9644.915262060606,16278.361696969694,COV_S6381
OSP700089,18179.299088253967,14153.977044656089,21742.46853756614,COV_S6382
OSP700062,14661.890451540618,11521.780190476193,17934.541409523812,COV_S6383
OSP700012,23718.65968200837,18098.235295955372,31364.65639274756,COV_S6384
OSP700090,60442.29508969212,53506.32263453816,67751.71975,COV_S6385
OSP700085,91771.92332163744,64168.840842105266,131408.34563742692,COV_S6386
OSP700074,40346.91190218341,32520.377478893744,50700.347342066954,COV_S6387
OSP700081,41667.03682191781,29697.331119634702,52444.68010958904,COV_S6388
OSP700087,12388.83751111111,9608.258373,15416.941205797102,COV_S6389
OSP700083,23680.758974999997,16402.412204166663,30084.932845833337,COV_S6390
OSP700073,20462.894689763783,17787.202448293967,24730.36197795276,COV_S6391
OSP700068,13665.453593043478,10566.386624927538,17575.516906666668,COV_S6392
OSP700067,107714.38723497267,85774.03086,136102.0093551913,COV_S6393
