sample_id,dry_weight,dry_weight_lci,dry_weight_uci,table_key
39-220510,363333.7686325581,345011.4169054263,386294.72124031006,COV_N12606
39-220512,259950.30259393936,241823.80906666667,278383.1741090909,COV_N12607
39-220515,182259.3071152648,172772.0242741433,191748.11105295943,COV_N12608
39-220517,220939.4564309764,177354.54933333333,275557.2643232323,COV_N12609
39-220519,253202.6406666667,226810.57090909095,275939.45012121217,COV_N12610
39-220522,135182.7338765432,121650.95481481482,147850.04839506172,COV_N12611
39-220524,121768.12050165018,113115.04,130422.40961056104,COV_N12612
39-220526,183910.7601320132,172364.82978217816,194222.8059141914,COV_N12613
39-220529,311631.01866666664,296190.128,327550.8880701754,COV_N12614
39-220531,305855.6549457364,275795.89959689917,324301.19479069766,COV_N12615
39-220602,162171.94570135744,152518.85369532427,170859.72850678733,COV_N12616
39-220605,104688.62455555557,81464.60849999999,117631.15722222222,COV_N12617
39-220607,187298.07765620327,177126.36130343797,197471.65287892375,COV_N12618
39-220609,155132.3903,144023.89529113923,166242.43051476797,COV_N12619
39-220612,230597.62658937203,211625.6197874396,250013.24392914656,COV_N12620
39-220614,110642.15843137256,100349.57586726996,121625.0113,COV_N12621
39-220616,406902.7800168776,389648.0833755274,424161.21086919826,COV_N12622
39-220619,171698.20150518516,159317.57041777778,185504.05997037035,COV_N12623
39-220621,524173.94746099296,501244.2948085106,549458.1723687942,COV_N12624
39-220623,115787.38223376624,105281.38528138529,125193.45135930736,COV_N12625
39-220626,137761.09377494693,128068.84701486197,147454.52297239914,COV_N12626
39-220628,144079.12771573605,135092.34642301183,153067.1741184433,COV_N12627
39-220630,162031.88702439022,138757.55063414632,186515.11030894305,COV_N12628
39-220703,204497.70414652015,187164.66994871796,219410.80896703296,COV_N12629
39-220705,347363.2199,322179.2900689655,372963.8285977011,COV_N12630
39-220707,213453.7416470588,200698.3102745098,227483.80549019607,COV_N12631
39-220710,318817.3958,303954.0208539326,333683.9140074907,COV_N12632
39-220712,127915.90106342778,117497.9473792173,137744.78514439944,COV_N12633
39-220714,255890.51537414963,235010.4542040816,270117.5023310657,COV_N12634
39-220717,305808.66948509484,272973.94710027106,335076.66033604334,COV_N12635
39-220719,378394.8821938535,348866.3477257684,408277.7596217494,COV_N12636
39-220721,190404.74424242423,179393.9393939394,201567.44754208755,COV_N12637
39-220724,272854.8975527426,256934.57237693388,287059.1132714487,COV_N12638
39-220727,263719.8459560067,251324.80368189508,278416.0995,COV_N12639
39-220728,207949.43038683129,193049.7879835391,223980.56217283948,COV_N12640
39-220731,330220.56743262406,310916.7112624113,348891.9683971631,COV_N12641
39-220802,232324.3962767296,211655.7906918239,249653.1984402516,COV_N12642
39-220803,294456.3014193548,274763.4559311828,315016.51888172043,COV_N12643
39-220808,300629.5098237548,280392.8769961686,320806.3644444444,COV_N12644
39-220809,448338.0618736384,431308.8211,464876.9270936819,COV_N12645
39-220811,186086.03603603604,173245.16367567563,199919.03906306307,COV_N12646
39-220814,251125.56628670116,230364.4420863558,268386.6036614853,COV_N12647
39-220816,422523.72075080907,397410.2724142395,444338.7028608414,COV_N12648
39-220818,283759.8912627451,268009.88887843135,299206.6027921568,COV_N12649
39-220821,221044.87039099855,209000.38494514767,233662.365209564,COV_N12650
39-220823,396034.1601689291,382068.8008687782,410002.9716561085,COV_N12651
39-220825,75827.16932718894,58779.91427,89480.68576344085,COV_N12652
39-220828,495070.9872592594,464929.2981481482,530903.2157777777,COV_N12653
39-220830,264277.0309390681,250700.64642293908,278640.6377060932,COV_N12654
39-220901,248782.63082926825,233110.133203252,264095.7715772358,COV_N12655
39-220904,200254.64693333337,188751.1412,211759.82159999997,COV_N12656
39-220906,392474.1132721713,377153.3091131498,407101.92572477064,COV_N12657
39-220908,91778.15561181432,74366.38846,109595.77762025314,COV_N12658
39-220911,160714.21552334944,146577.41428663445,172332.21080837358,COV_N12659
39-220913,161868.4839326599,151662.79445117843,173022.58165656563,COV_N12660
39-220915,199569.069370892,189050.10433802815,211896.0337026604,COV_N12661
39-220918,222370.98331428572,198583.46361904763,242304.21765079364,COV_N12662
39-220920,225082.1105230769,204948.9730188034,245551.13703931624,COV_N12663
39-220922,270413.1734368932,248591.57426537215,289145.50979935273,COV_N12664
39-220926,364606.8732998325,349375.4836046902,379419.42582244554,COV_N12665
39-220927,424963.2385747126,402498.88101149426,448595.8581609195,COV_N12666
39-220929,101314.79442857142,86451.73481,115686.07604761903,COV_N12667
39-221002,432942.5557333333,382306.9763,482504.22159999993,COV_N12668
39-221004,280757.86340334854,249974.91706544903,309915.8532480974,COV_N12669
39-221006,256829.4525333333,240304.7942933333,270669.7082666666,COV_N12670
39-221009,344079.07312874775,317985.09065255726,367406.12859259255,COV_N12671
39-221011,215652.5318556998,198248.44075036063,235340.267,COV_N12672
39-221013,237253.18014397495,212429.47049765257,261446.2886760563,COV_N12673
39-221016,262457.5860755336,248218.25450246304,277240.8220689655,COV_N12674
39-221018,369195.7882276422,345334.5776910569,397241.77331165306,COV_N12675
39-221020,278709.28617040353,255576.09523467865,301589.5780926756,COV_N12676
39-221023,418680.86835374153,368962.7926204082,467718.8379863946,COV_N12677
39-221025,261283.74522033895,244768.5414237289,276296.10910734464,COV_N12678
