sample_id,dry_weight,dry_weight_lci,dry_weight_uci,table_key
213-230815,286188912.09876543,230709236.04938272,336306461.3333334,PMMoV33268
213-230817,162216351.34450653,132413282.32402235,193257990.73370576,PMMoV33269
213-230822,139270915.1304348,128457387.24637686,150405043.47826087,PMMoV33270
213-230824,210411977.65079367,163989722.81904763,257030281.14285713,PMMoV33271
213-230829,134157321.083871,120711486.1419355,149527706.01290324,PMMoV33272
213-230831,232658008.86021504,212993433.1182796,252866388.12903225,PMMoV33273
213-230905,348613651.7412935,335879713.91044784,361356243.74129355,PMMoV33274
213-230907,235339454.23948225,216642825.42394823,251626340.0,PMMoV33275
213-230912,215823010.91929823,198058096.95438597,233316607.5508772,PMMoV33276
213-230914,276652390.1,266109059.09677425,287203990.4802868,PMMoV33277
213-230919,259511578.66666663,234198931.93442625,287072086.8196721,PMMoV33278
213-230920,397649583.77304965,356895046.3546099,440338957.2765958,PMMoV33279
213-230926,195115990.69281048,179050320.94117647,210945358.74509808,PMMoV33280
213-230928,196185063.4248366,173004988.13071898,220190030.74509805,PMMoV33281
213-231003,151441497.34653467,144123402.24422443,158763893.0165016,PMMoV33282
213-231005,267344647.99999997,257842894.80459777,276854749.7011494,PMMoV33283
213-231010,202650790.70085472,192800512.13675216,212507081.70940173,PMMoV33284
213-231012,369344457.0,357106145.2222222,381594255.2222222,PMMoV33285
213-231017,321234234.6666667,310482746.5578232,331994753.41496605,PMMoV33286
213-231019,322989100.56621003,310759188.1643836,335227708.4931507,PMMoV33287
213-231024,271939074.88627446,260923497.78823528,282962861.9294117,PMMoV33288
213-231026,314772097.9616859,289752407.7854406,343261999.32567054,PMMoV33289
213-231030,162394325.3333333,147433292.15686274,175149536.15686277,PMMoV33290
213-231107,212971232.10666668,197071044.90666667,228039204.90666667,PMMoV33291
213-231108,308179260.8288288,295179679.8558559,328746568.7927928,PMMoV33292
213-231114,203469013.04761904,195472553.80952376,211471158.0,PMMoV33293
213-231116,244339413.9546926,210207705.1650486,292748865.4498382,PMMoV33294
213-231121,232485102.93333337,169739119.88148144,300002373.5703704,PMMoV33295
213-231128,269429306.7619047,238310132.66666663,300673421.2380952,PMMoV33296
213-231130,170648684.50574714,143257345.71647513,200319183.44827583,PMMoV33297
213-231205,134379772.51090345,103238856.27414332,165784394.9657321,PMMoV33298
213-231207,416414630.3492064,382877531.42857146,449989391.49206346,PMMoV33299
213-231212,254254312.24242425,239882960.48484847,268332833.9393939,PMMoV33300
213-231214,274811705.63914376,265025324.9174312,284326526.53211015,PMMoV33301
213-231219,130506613.22105262,125967203.7614035,135049160.08421054,PMMoV33302
213-231226,63849704.83,59254488.03404255,68446496.19290781,PMMoV33303
213-231228,159179564.68965518,120188211.03448278,199258826.20689657,PMMoV33304
213-240102,125666395.77777778,93659443.32222222,156425136.99999997,PMMoV33305
213-240104,433451060.71794885,400748619.6923077,462958976.5128205,PMMoV33306
213-240109,201163620.67301583,187683822.42539683,214121113.0920635,PMMoV33307
213-240111,83599510.74782607,37892797.715942025,125868976.92753626,PMMoV33308
213-240116,206745380.82222223,194544410.71111113,218952051.8,PMMoV33309
213-240117,296400081.69696975,252177221.0909091,339910125.6969697,PMMoV33310
213-240123,321810784.89635855,307534268.59383756,334630219.2941176,PMMoV33311
213-240125,220863837.47368425,195229741.1929825,252078836.07017544,PMMoV33312
213-240130,319586572.0673401,309417847.91919196,329763495.97306395,PMMoV33313
213-240201,227691577.7777778,162361544.63492066,284844752.7619048,PMMoV33314
213-240206,198995079.3918129,189402976.1871345,209651603.46198836,PMMoV33315
213-240208,216633182.13333336,208506079.8222222,224766574.40000004,PMMoV33316
213-240213,407355265.28,395576375.4,419145222.93333334,PMMoV33317
213-240215,339109482.9147287,297268534.82170546,385194148.58914727,PMMoV33318
213-240220,209968558.28248587,198811745.4463277,221131250.4,PMMoV33319
213-240222,288614126.3589744,255864748.17094025,326782565.60683763,PMMoV33320
180-230115,331498288.90043294,319777715.8095238,343763263.8614719,PMMoV33321
180-230117,194837357.07042256,184961424.67605636,204718819.9061033,PMMoV33322
180-230119,159021630.36862746,151092457.5372549,166955087.68627447,PMMoV33323
180-230122,215967203.77435896,186988666.25641027,248188460.96410257,PMMoV33324
180-230124,137883787.9727891,119044435.80952384,159069561.2517007,PMMoV33325
180-230126,314861430.8571428,303015936.0,326716298.9206349,PMMoV33326
