state_name,county_name,year,median_age,average_household_income,per_capita_income
 Alaska,Yakutat City and Borough,2020,36.3,59517.0,32861.0
 Alaska,Yukon-Koyukuk Census Area,2020,35.3,41728.0,24587.0
 Alaska,Aleutians East Borough,2020,44.1,75833.0,36973.0
 Alaska,Bethel Census Area,2020,28.1,54400.0,21392.0
 Alaska,Copper River Census Area,2020,39.7,64745.0,33776.0
 Alaska,Fairbanks North Star Borough,2020,31.5,76464.0,38031.0
 Alaska,Juneau City and Borough,2020,38.5,88077.0,43074.0
 Alaska,Kodiak Island Borough,2020,34.7,79173.0,32495.0
 Alaska,Lake and Peninsula Borough,2020,32.9,48750.0,24983.0
 Alaska,North Slope Borough,2020,34.2,79083.0,45889.0
 Alaska,Prince of Wales-Hyder Census Area,2020,42.1,54018.0,28652.0
 Alaska,Southeast Fairbanks Census Area,2020,36.8,66941.0,31885.0
 Alaska,Aleutians East Borough,2021,43.2,72258.0,36157.0
 Alaska,Aleutians West Census Area,2021,39.4,90708.0,43599.0
 Alaska,Anchorage Municipality,2021,34.3,88871.0,43125.0
 Alaska,Bethel Census Area,2021,28.6,57460.0,22295.0
 Alaska,Bristol Bay Borough,2021,39.9,81563.0,44755.0
 Alaska,Chugach Census Area,2021,38.1,87868.0,43311.0
 Alaska,Copper River Census Area,2021,42.8,67439.0,33894.0
 Alaska,Denali Borough,2021,45.3,78750.0,36412.0
 Alaska,Dillingham Census Area,2021,30.4,62115.0,27890.0
 Alaska,Fairbanks North Star Borough,2021,31.9,78321.0,39820.0
 Alaska,Haines Borough,2021,41.8,63355.0,32128.0
 Alaska,Hoonah-Angoon Census Area,2021,50.7,55990.0,36787.0
 Alaska,Juneau City and Borough,2021,38.6,90126.0,45607.0
 Alaska,Kenai Peninsula Borough,2021,41.4,70609.0,37473.0
 Alaska,Ketchikan Gateway Borough,2021,40.3,77820.0,40534.0
 Alaska,Kodiak Island Borough,2021,35.2,83765.0,35751.0
 Alaska,Kusilvak Census Area,2021,24.0,37975.0,15417.0
 Alaska,Lake and Peninsula Borough,2021,33.2,49688.0,27130.0
 Alaska,Matanuska-Susitna Borough,2021,35.9,79300.0,35929.0
 Alaska,Nome Census Area,2021,29.0,63977.0,25736.0
 Alaska,North Slope Borough,2021,33.5,83992.0,47585.0
 Alaska,Northwest Arctic Borough,2021,28.7,68654.0,26748.0
 Alaska,Petersburg Borough,2021,49.0,71696.0,35280.0
 Alaska,Prince of Wales-Hyder Census Area,2021,43.0,55857.0,30574.0
 Alaska,Sitka City and Borough,2021,39.2,82083.0,39792.0
 Alaska,Skagway Municipality,2021,40.5,75000.0,43562.0
 Alaska,Southeast Fairbanks Census Area,2021,36.6,68634.0,31546.0
 Alaska,Wrangell City and Borough,2021,45.1,54891.0,31069.0
 Alaska,Yakutat City and Borough,2021,37.2,72083.0,39950.0
 Alaska,Yukon-Koyukuk Census Area,2021,35.6,43405.0,25711.0
 Alaska,Aleutians East Borough,2022,41.6,79961.0,42165.0
 Alaska,Aleutians West Census Area,2022,39.2,100662.0,47339.0
 Alaska,Anchorage Municipality,2022,34.5,95731.0,46554.0
 Alaska,Bethel Census Area,2022,28.7,64094.0,25859.0
 Alaska,Bristol Bay Borough,2022,36.4,94167.0,45499.0
 Alaska,Chugach Census Area,2022,37.8,83068.0,44700.0
 Alaska,Copper River Census Area,2022,43.1,70606.0,37887.0
 Alaska,Denali Borough,2022,44.4,87292.0,73692.0
 Alaska,Dillingham Census Area,2022,30.7,69412.0,31948.0
 Alaska,Fairbanks North Star Borough,2022,32.1,81655.0,42744.0
 Alaska,Haines Borough,2022,46.2,68276.0,33585.0
 Alaska,Hoonah-Angoon Census Area,2022,50.0,62344.0,39257.0
 Alaska,Juneau City and Borough,2022,39.0,95711.0,49207.0
 Alaska,Kenai Peninsula Borough,2022,41.2,76272.0,40720.0
 Alaska,Ketchikan Gateway Borough,2022,40.6,82763.0,44368.0
 Alaska,Kodiak Island Borough,2022,35.1,91138.0,39563.0
 Alaska,Kusilvak Census Area,2022,23.7,42663.0,17166.0
 Alaska,Lake and Peninsula Borough,2022,33.6,61607.0,39409.0
 Alaska,Matanuska-Susitna Borough,2022,36.3,86435.0,39201.0
