state_name,state_abbr,county_name,state_fips,county_fips
 Arkansas,AR,Boone County,05,009
 Arkansas,AR,Calhoun County,05,013
 Arkansas,AR,Carroll County,05,015
 Arkansas,AR,Clark County,05,019
 Arkansas,AR,Clay County,05,021
 Arkansas,AR,Cleveland County,05,025
 Arkansas,AR,Columbia County,05,027
 Arkansas,AR,Craighead County,05,031
 Arkansas,AR,Crittenden County,05,035
 Arkansas,AR,Cross County,05,037
 Arkansas,AR,Desha County,05,041
 Arkansas,AR,Drew County,05,043
 Arkansas,AR,Franklin County,05,047
 Arkansas,AR,Fulton County,05,049
 Arkansas,AR,Grant County,05,053
 Arkansas,AR,Hempstead County,05,057
 Arkansas,AR,Hot Spring County,05,059
 Arkansas,AR,Independence County,05,063
 Arkansas,AR,Izard County,05,065
 Arkansas,AR,Jefferson County,05,069
 Arkansas,AR,Johnson County,05,071
 Arkansas,AR,Lawrence County,05,075
 Arkansas,AR,Lincoln County,05,079
 Arkansas,AR,Little River County,05,081
 Arkansas,AR,Lonoke County,05,085
 Arkansas,AR,Madison County,05,087
 Arkansas,AR,Miller County,05,091
 Arkansas,AR,Monroe County,05,095
 Arkansas,AR,Montgomery County,05,097
 Arkansas,AR,Nevada County,05,099
 Arkansas,AR,Newton County,05,101
 Arkansas,AR,Ouachita County,05,103
 Arkansas,AR,Perry County,05,105
 Arkansas,AR,Phillips County,05,107
 Arkansas,AR,Pike County,05,109
 Arkansas,AR,Poinsett County,05,111
 Arkansas,AR,Polk County,05,113
 Arkansas,AR,Pope County,05,115
 Arkansas,AR,Prairie County,05,117
 Arkansas,AR,Pulaski County,05,119
 Arkansas,AR,Randolph County,05,121
 Arkansas,AR,St. Francis County,05,123
 Arkansas,AR,Saline County,05,125
 Arkansas,AR,Scott County,05,127
 Arkansas,AR,Searcy County,05,129
 Arkansas,AR,Sebastian County,05,131
 Arkansas,AR,Sevier County,05,133
 Arkansas,AR,Sharp County,05,135
 Arkansas,AR,Stone County,05,137
 Arkansas,AR,Union County,05,139
 Arkansas,AR,Washington County,05,143
 Arkansas,AR,White County,05,145
 Arkansas,AR,Yell County,05,149
 Arkansas,AR,Arkansas County,05,001
 Arkansas,AR,Benton County,05,007
